"filename", "language", "vue", "HTML", "CSS", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "YAML", "XML", "Java", "comment", "blank", "total"
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\impl\GameServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 365, 78, 98, 541
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\impl\RoomServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 26, 44, 212
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\impl\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 17, 30, 144
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\resources\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 1, 17, 222
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\resources\test_data.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 15, 14, 122
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\test\java\com\example\hello\HelloApplicationTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\package-lock.json", "JSON", 0, 0, 0, 0, 1361, 0, 0, 0, 0, 0, 0, 0, 1, 1362
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\package.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\App.vue", "vue", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\components\HelloWorld.vue", "vue", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\style.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 63, 13, 70, 9, 1414, 7, 52, 297, 22, 102, 1682, 466, 615, 4812
